rol,horizonte_min,estrategia,rmse,mae,mape,r2
train,15,baseline_media_hora_dia,604.15,341.58,89.01,0.04
train,15,baseline_persistencia,669.17,255.63,53.72,-0.23
train,15,rf_global,424.66,226.08,50.74,0.32
train,15,rf_por_hogar,422.41,232.61,53.95,0.31
train,60,baseline_media_hora_dia,604.17,341.6,89.02,0.04
train,60,baseline_persistencia,763.0,322.62,72.94,-0.57
train,60,rf_global,459.14,258.68,61.23,0.22
train,60,rf_por_hogar,460.66,267.82,65.26,0.2
train,1440,baseline_media_hora_dia,604.43,341.78,89.25,0.04
train,1440,baseline_persistencia,772.01,335.97,79.76,-0.62
train,1440,rf_global,473.95,266.28,64.4,0.19
train,1440,rf_por_hogar,492.96,292.78,74.35,0.09
validacion_externa,15,baseline_media_hora_dia,945.72,446.01,99.08,0.06
validacion_externa,15,baseline_persistencia,1001.5,337.72,61.83,-0.06
validacion_externa,15,rf_global,661.75,350.73,86.0,0.38
validacion_externa,15,rf_por_hogar,682.42,351.28,73.69,0.35
validacion_externa,60,baseline_media_hora_dia,945.75,445.93,99.05,0.06
validacion_externa,60,baseline_persistencia,1109.81,424.56,90.05,-0.29
validacion_externa,60,rf_global,732.32,411.55,108.33,0.25
validacion_externa,60,rf_por_hogar,759.9,392.61,86.56,0.19
validacion_externa,1440,baseline_media_hora_dia,944.14,443.82,98.03,0.06
validacion_externa,1440,baseline_persistencia,1185.78,506.88,122.2,-0.45
validacion_externa,1440,rf_global,810.05,439.06,118.86,0.09
validacion_externa,1440,rf_por_hogar,804.54,439.43,113.28,0.1
