hogar,rol,horizonte_min,estrategia,rmse,mae,mape,r2,n
1,train,15,baseline_persistencia,845.2483735220387,242.2123315342535,54.911338845205634,-0.5918593596931914,143889
1,train,15,baseline_media_hora_dia,676.977064925053,356.974716622669,118.66663292656489,-0.0219817807767894,144085
1,train,60,baseline_persistencia,889.3024823079647,291.7990707632496,72.88111061145013,-0.776565941148639,143373
1,train,60,baseline_media_hora_dia,677.0299701849169,356.9582687404642,118.6819832074016,-0.0220267660041393,144040
1,train,1440,baseline_persistencia,870.8716589117239,279.3599050812512,74.29504710283969,-0.7635626965020643,132314
1,train,1440,baseline_media_hora_dia,670.8757699102423,353.9807882112229,119.14032977060324,-0.026448800303565,142660
3,train,15,baseline_persistencia,852.2356992638788,395.8103014564277,58.02563190400806,-0.0524938883421073,152820
3,train,15,baseline_media_hora_dia,774.9208081231,460.80579601695536,90.75623679271524,0.1300238584221695,152896
3,train,60,baseline_persistencia,1013.97098801402,503.2627736557829,83.22675122819571,-0.4954657203925365,152580
3,train,60,baseline_media_hora_dia,775.0197657366812,460.8587214930861,90.76183283289124,0.1300310201258644,152851
3,train,1440,baseline_persistencia,1050.4933063284618,525.8885211495583,88.43011798963899,-0.6288702942443889,145680
3,train,1440,baseline_media_hora_dia,777.4850157293516,462.4042181793338,91.09160556372532,0.1296553474639947,151471
4,train,15,baseline_persistencia,451.4374209639358,212.7213820339435,69.31464371111457,-0.5513330377796615,135161
4,train,15,baseline_media_hora_dia,356.0546131370814,199.24113375393927,86.29701784169718,0.0336736335861315,135371
4,train,60,baseline_persistencia,509.8722817345055,278.0528040364176,108.27692865701776,-0.9756991201068989,134617
4,train,60,baseline_media_hora_dia,356.0426776008187,199.2356864335392,86.30461653761373,0.0336853009173405,135326
4,train,1440,baseline_persistencia,488.6892735608449,249.2293931110301,91.44795703301624,-0.8250680309756264,125106
4,train,1440,baseline_media_hora_dia,355.3797943921565,199.3176341352577,86.50349267329274,0.0332796632158919,133946
5,train,15,baseline_persistencia,666.2905056596042,254.57322323232071,29.21133397585503,-0.1297012846415781,150426
5,train,15,baseline_media_hora_dia,585.6870565211071,355.4770602535052,52.342684618641314,0.1275785970388758,150724
5,train,60,baseline_persistencia,769.4527571367407,343.7978747106221,42.077990250636056,-0.5052834355497557,149883
5,train,60,baseline_media_hora_dia,585.7731762467877,355.56291951241,52.35211641654424,0.127502018348883,150679
5,train,1440,baseline_persistencia,824.2564582610726,420.57240902439895,58.54002082553402,-0.710444026049776,141040
5,train,1440,baseline_media_hora_dia,585.2637462308253,354.9683126905161,52.35406858576247,0.128168422271298,149299
6,train,15,baseline_persistencia,467.2689335030108,195.16494170245733,38.02183064277197,-0.4510076816463784,119398
6,train,15,baseline_media_hora_dia,378.8297196209816,204.6854040442488,42.97665346388174,0.0460634141178593,119518
6,train,60,baseline_persistencia,480.90475733194006,215.34825945788347,43.02435341468598,-0.5365774638615401,119015
6,train,60,baseline_media_hora_dia,378.8744705658273,204.67784083037355,42.96953571757157,0.0461590487186605,119473
6,train,1440,baseline_persistencia,517.9034884393486,252.16121692466845,53.22205440817393,-0.7305066381664673,108746
6,train,1440,baseline_media_hora_dia,379.8371805737794,205.1964314934632,43.045480131773886,0.0458714067220609,118093
7,train,15,baseline_persistencia,821.5592557961596,384.1373574113878,88.89696058754775,-0.1778974373550503,134564
7,train,15,baseline_media_hora_dia,712.7843867167658,442.7892514734877,150.92369286629477,0.1143209712769628,134735
7,train,60,baseline_persistencia,948.0762838157344,474.02450184505386,127.88991628240444,-0.5687491875181658,134053
7,train,60,baseline_media_hora_dia,712.8596304382154,442.7954377587794,150.9139456880855,0.1144010333059999,134690
7,train,1440,baseline_persistencia,959.2497133614504,473.9300695554948,124.26400839970604,-0.5696997772072427,122390
7,train,1440,baseline_media_hora_dia,713.9513325881637,443.4834804456268,151.3982965635207,0.1129379655662915,133310
8,train,15,baseline_persistencia,1246.254671988224,496.5175744806483,81.2806445271097,-0.1794224595961284,148050
8,train,15,baseline_media_hora_dia,1030.8797566061464,520.978474308481,101.33688246129542,0.1928784400248869,148110
8,train,60,baseline_persistencia,1530.2486667912938,670.21648593932,116.51444055323152,-0.7761255271496188,147825
8,train,60,baseline_media_hora_dia,1031.0182894343627,521.0436756651712,101.34911507052205,0.1928825493516188,148065
8,train,1440,baseline_persistencia,1265.8233194564273,529.625065866409,98.99430221017356,-0.2152020779894066,142300
8,train,1440,baseline_media_hora_dia,1032.895049539415,521.6863258940625,101.6625991508304,0.1923787895647265,146685
9,train,15,baseline_persistencia,1090.482491804266,355.5249277315773,67.59297811327873,-0.355761614091999,128551
9,train,15,baseline_media_hora_dia,883.6312257868817,439.42789371611445,119.73734616517618,0.1108009873597897,128641
9,train,60,baseline_persistencia,1198.3516354679048,467.8993835873077,97.3783743170546,-0.6369656390580496,128236
9,train,60,baseline_media_hora_dia,883.7845416351279,439.5593159710796,119.77124032290718,0.1107728527782514,128596
9,train,1440,baseline_persistencia,1243.0869701778863,514.00898192471,125.46492759255392,-0.73126552241604,120016
9,train,1440,baseline_media_hora_dia,885.5057509477979,441.0909402445426,120.13418999236036,0.1107415486935192,127216
10,train,15,baseline_persistencia,669.3546186880533,273.3650213292706,46.72146120131709,0.0671210306652412,133735
10,train,15,baseline_media_hora_dia,720.1114050057643,498.8697785680695,121.7519367581881,-0.0793621686583294,133858
